id,id,dialogue,final_summary,first_shot_summary
13865430,13865430,"Ulysses: Did you see your grades?
Peter: Yes. 
Ulysses: I got an A
Peter: Me too
Julia: B
Martha: Where can I check them?
Julia: Online
Julia: On the course page",Ulysses and Peter got an A and Julia got a B.,Ulysses and Peter got an A and Julia got a B.
13828779,13828779,"Natalie: can you send me the recipe for your famous cheesecake, please?
Monica: Sure, just a sec
Monica: <file_photo>
Natalie: Thank you, yummmmmmie <3",Monica sends Natalie a recipe for her famous cheesecake.,Monica sends Natalie a recipe for her famous cheesecake.
13729101,13729101,"Brenda: Hello, is this Sandra Donovan?
Sandra: Yes, well that was my maiden name, it's Sandra Taylor now.
Brenda: It's Brenda Riley, we used to work together in the clothes factory!
Sandra: Oh my God! Bren! How are you, it must be 25 years!
Brenda: I'm fine, I live in Stoke now, moved away from Brum in the late 90s.
Sandra: I still live in Kings Norton, same house, same husband! I've got 4 grandchildren now, ages 2, 4, 9 and 15! How about you?
Brenda: Unfortunately, my husband Bill died 5 years ago, I have only one grandchild, she's 7, my little angel, she doesn't remember her Gramps. 
Sandra: So sorry, love, I remember your Bill, he had long black hair and massive sideburns, didn't he?
Brenda: Well, yes, about 45 years ago, he was bald when he passed away. He loved to dance, he did Northern Soul, we both did actually. Went up to Wigan on weekends, happy times!
Sandra: Oh yes, I remember that craze, bit energetic for me! We liked disco instead! We had some great dinner dances with the factory, do you remember them?
Brenda: Yes! Us all dressed up with our long dresses and the men with their frilly evening shirts, lovely memories!
Sandra: Do you still see any of the girls from Lister's?
Brenda: No, but I heard that Marigold Carter died, very sad.
Sandra: Hey Bren, I've had a brainwave! How about we organise a reunion for the Lister's girls, look on social media for them?
Brenda: Actually, I was thinking along those lines! Do you fancy meeting up, just you and me? I can come down to Birmingham anytime.
Sandra: That would be lovely! Can you manage it next Saturday? We could meet about 11ish and go for lunch and a good old trip down memory lane!
Brenda: Oh yes! I'd love that! I'll get back to you about train times soon!
Sandra: Ok! Bye love!",Sandra and Brenda worked together in the clothes factory.,Sandra and Brenda worked together in the clothes factory.
13814882,13814882,"Rita: I'm so bloody tired. Falling asleep at work. :-(
Tina: I know what you mean.
Tina: I keep on nodding off at my keyboard hoping that the boss doesn't notice..
Rita: The time just keeps on dragging on and on and on.... 
Rita: I keep on looking at the clock and there's still 4 hours of this drudgery to go.
Tina: Times like these I really hate my work.
Rita: I'm really not cut out for this level of boredom.
Tina: Neither am I.",Rita is falling asleep at work. ,Rita is falling asleep at work. 
13814407,13814407,"Antonio: Is everything okay? You've been quiet lately
Alivia: Oh, hi, yeah, I've just been working on my thesis
Alivia: Or rather trying to work, it's not going too well
Antonio: Oh :( Problems finding research materials?
Alivia: Well
Alivia: That isn't really as big a problem, the worst part is actually sitting down and writing
Alivia: I find the topic interesting and all, I don't mind reading articles and books
Alivia: But when I'm supposed to write, it's like I blank out and can't type a single word w/o thinking I sound stupid...
Antonio: I know the feeling...
Antonio: You should probably stop thinking about it so seriously, just write and you can edit it later
Antonio: Once you get past the initial difficulty, it'll get better, at least that's what it was like for me
Alivia: I'd like to think so... Thanks... I'll try. And thanks for your concern <3",Alivia hasn't been active on Facebook because she's been working on her thesis. She needs more time.,Alivia hasn't been active on Facebook because she's been working on her thesis. She needs more time.
13680247,13680247,"Paul: Do you have your keys?
Lena: Yup. What's up?
Paul: I will be home later than I thought, so just don't wait for me and get home.
Lena: What happened?
Paul: I'll call you in 15 minutes and then I'll tell you.
Lena: Ok.",Paul will be home later than he thought. Lena will not wait for him. ,Paul will be home later.
13829728,13829728,"Janice: my son has been asking me to get him a hamster for his birthday
Janice: should i?
Martina: NO! NO! NO! NO! NO!
Martina: i got one for my son and it stank up the whole house
Martina: so don't do it!!!","Janice's son, and she thinks it's horrible.","Martina's son, but it's not healthy."
13728767-1,13728767-1,"Karen: you know that road from the swimming pool to Waitrose?
Peter: yeah?
Karen: What is happening there?
Peter: Dunno. What do you mean?
Karen: It's all blocked of and vans everywhere
Peter: Is it ambulances and stuff?
Karen: Don't think so, I didn't see any lights or anything
Peter: what kind of vans then?
Karen: I don't know, those big white ones, like work vans
Peter: maybe repairs to something?
Karen: yeah I guess so
Karen: either way I would avoid it if I were you, I got pretty stuck after yoga
Karen: what time are you leaving anyway?
Peter: Not until 6 at the earliest, got to finish this presentation for the repairs team tomorrow
Karen: I thought Joe was going to finish that?
Peter: No Eileen wanted me to do it...
Karen: Cause she knows you won't say no?
Peter: Or because Joe did a pretty crappie job last time
Karen: True. let me know if you need any help.
Peter: I'm almost done, thanks though. 
Karen: see you in a bit",There's a roadblock on the road from the swimming pool to Waitrose.,There's a roadblock on the road from the swimming pool to Waitrose.
13864432,13864432,"Jenny: where does Mary live now?
Maria: In Southampton 
Louis: Yes, she moved there in December",Mary lives in Southampton now Maria.,Mary lives in Southampton now Maria.
13810694,13810694,"Josh: I need to buy an iPad?
Josh: do u think apple it's a good choice?
Brian: Nope, u gonna pay to have the sign of apple  on yr fucking iPad.
Josh: so what would u recommend?
Brian: u mean brands?
Brian: Samsung, Xiaomi, Sony
Brian: depends on yr budget..
Josh: let's say 2000..
Brian: what about this ? <file_other>
Brian: or this <file_other>
Brian: actually, if u want samsung I can get it cheaper for u
Josh: oh, good
Brian: call me after work, ok?
Josh: ok",Josh needs to buy an iPad. Brian doesn't think Apple is a good choice.,Josh will probably get a Samsung iPad.
