id,dialogue,predict_summary,hallucination_type,hallucination_level,confidence_score,first_shot_summary,first_shot_hallucination_type,first_shot_hallucination_level,first_shot_confidence_score,prediction,org_prediction,time_taken,gpt_model
13729106-1,"Jill: So bored!
Nate: Well... can't help you there
Nate: Still at work
Jill: ugh I need to find a job
Jill: I've watched everything on youtube already
Nate: Doubt it :P I'll call you when I get off work",Jill feels bored.,NULL,0.0,1.0,Jill feels bored.,NULL,0.0,1.0,False,False,4.0077,gpt-3.5-turbo-16k
13716120,"Madison: <file_other>
Madison: I saw this offer today
Adam: Thailand??
Madison: Exactly
Adam: Not to expensive??
Madison: Tickets cost pretty penny, but the rest is extra cheap
Taylor: And children under 12 --> 50% off
Jordan: Seems ok","Adam, Madison and Taylor will go to Thailand together.",NULL,0.0,1.0,"Adam, Madison and Taylor will go to Thailand together.",NULL,0.0,1.0,False,False,12.2998,gpt-3.5-turbo-16k
13682034,"Danna: How's your Saturday?
Reed: It was alright thanks
Danna: Good
Reed: Yours ?
Danna: Boring
Reed: Why?
Danna: I'm angry I called maybe 5-8 of my friends and they aren't around or are busy.
Reed: Shame
Danna: So it's is the next boring weekend for me
Reed: That sucks
Danna: The only thing I can do is watching TV -.-
Reed: Haha lucky you
Danna: Yeah haha
Reed: I don't have tv, our subscription expired and they never renewed it. They want us to pay for it so fuck it
Danna: Yeah. What are you doing?
Reed: I'm in bed
Danna: Work tomorrow?
Reed: No. Off tomorrow
Danna: Nice
Reed: Indeed","Danna called maybe 5-8 of her friends on Saturday and none answered, so she was bored.",NULL,0.0,1.0,"Danna called maybe 5-8 of her friends on Saturday and none answered, so she was bored.",NULL,0.0,1.0,False,False,6.761,gpt-3.5-turbo-16k
13814648,"Alexa: I want to confess something
Hunter: What is it?
Alexa: I asked Ethan to Insult you :(
Hunter: But why did you do that?
Alexa: I was too jealous to see you with Ethan that day, dats why :(
Hunter: But you could just ask me not to do something if you dont want me to?
Alexa: We would talk about it tomorrow",Alexa is very sorry for the hurt she caused Hunter.,NULL,0.0,1.0,Alexa is very sorry for the hurt she caused Hunter.,NULL,0.0,1.0,False,False,4.2075,gpt-3.5-turbo-16k
13717250,"Johnatan: yoo guys
Darren: B-)
Lucas: hey wassup
Johnatan: beer? now?
Darren: hell yeah B-)
Lucas: I'm free in the evening","Johnatan, Darren and Lucas are going to have some beer tonight.",NULL,0.0,1.0,"Johnatan, Darren and Lucas are going to have some beer tonight.",NULL,0.0,1.0,False,False,4.5798,gpt-3.5-turbo-16k
13863202,"Kristian: Adidas Or Nike?😃
Tabora: Adidas(＾ｖ＾)
Kristian: Watermelon or orange?😃😃
Tabora: Orange(＾ｖ＾)
Kristian: Superman or batman?😃😃😃
Tabora: Batman(＾ｖ＾)
Tabora: What are we doing now?
Kristian: Just playing games😃😃😃😃
Kristian: Wanna keep going?😃
Tabora: Sure! It is kinda fun!(*^0^*)
Kristian: Films or books?😃😃😀😀😀😀😀😀
Tabora: Films!(＾ｖ＾)
Tabora: When is my turn?",Tabora chooses Batman.,extrinsic,0.8,0.9,Tabora chooses Batman.,extrinsic,0.5,0.8,True,True,4.4552,gpt-3.5-turbo-16k
13819098,"Claire: Check this out :)))
Claire: <file_other>
Maria: !!
Nicole: Absolutely perfect for you!!
Claire: I guess so
Claire: But it could be a bit darker, cause this color is not very vivid
Nicole: Noooooo, I think this color is perfectly good for the bride
Maria: And it's no that expensive :)))
Claire: Yes, the price appeals to me xD
Nicole: You should order that dress
Nicole: I think you won't regret
Maria: Don't hesitate, it's incredibly beauty!!
Claire: Ok, if you say so :))",Claire sends Maria and Nicole an image of her new haircut.,extrinsic,0.8,0.9,Claire sends Maria and Nicole an image of her new haircut.,extrinsic,0.8,0.9,True,True,8.0317,gpt-3.5-turbo-16k
13682188,"Ty: do you speak French?
Veronica: no 
Ty: pity, I need a translator ",Veronica does not speak French. Ty needs a translator.,NULL,0.0,1.0,Veronica does not speak French. Ty needs a translator.,NULL,0.0,1.0,False,False,4.3745,gpt-3.5-turbo-16k
13716051,"Inez: My dears, our evening inspired me to create this group conversation to plan further Food Evenings :)
Inez: This is my proposal for the next one: <file_photo>
Alicja: Wow, I will actually feel happy going to work thanks to this :D
Gosia: Happy going to work and even happier leaving it haha
Alicja: Just too bad that the time between 9 and 17 will be wasted :P
Patrycja: I really liked our evening, even the pizza was delicious :) How did you girls like it?
Inez: I loved it, Gosia really chose a great place :)
Gosia: I am an expert at eating :D
Alicja: Have you been to this restaurant Inez sent?
Gosia: No, it is quite new. But I heard good opinions! :D
Patrycja: And it fits with our theme of exploring world cuisines :)
Alicja: First Italy, now Korea! :D
Inez: So when could we do this again?
Gosia: I am not sure, but we have to before the holidays!
Patrycja: We should have less work in two weeks, we could go again on Wednesday?
Alicja: Sounds good to me!
Inez: Me too :D",Inez and Alicja liked Food Evenings so much that she wanted to plan further ones.,NULL,0.0,1.0,Inez suggests organizing food evenings more often.,NULL,0.0,1.0,False,False,6.6705,gpt-3.5-turbo-16k
13681870,"Miley: don't want to go to work tomorrow!
Miley: wanna sleep!!!
Miley: need some rest :(
Aaron: know what u feelin
Aaron: really want some holiday already
Miley: :(
Aaron: fighting girl!",Miley doesn't want to go to work tomorrow. She wants to sleep. Aaron also wants some holiday.,NULL,0.0,1.0,Miley doesn't want to go to work tomorrow.,NULL,0.0,1.0,False,False,4.2553,gpt-3.5-turbo-16k
