id,id,dialogue,final_summary,first_shot_summary
13682496,13682496,"Myah: <file_photo>
Selah: I can't see the phone number very well. Rewrite it plz
Myah: <file_photo>
Selah: The phone of that person is off",Selah wants Myah to rewrite the phone number of that person.,Selah wants Myah to rewrite the phone number of that person.
13863202,13863202,"Kristian: Adidas Or Nike?😃
Tabora: Adidas(＾ｖ＾)
Kristian: Watermelon or orange?😃😃
Tabora: Orange(＾ｖ＾)
Kristian: Superman or batman?😃😃😃
Tabora: Batman(＾ｖ＾)
Tabora: What are we doing now?
Kristian: Just playing games😃😃😃😃
Kristian: Wanna keep going?😃
Tabora: Sure! It is kinda fun!(*^0^*)
Kristian: Films or books?😃😃😀😀😀😀😀😀
Tabora: Films!(＾ｖ＾)
Tabora: When is my turn?",Batman.,Batman.
13821684,13821684,"Joyce: Check this out!
Joyce: <link>
Michael: That's cheap!
Edson: No way! I'm booking my ticket now!! ",Edson is booking tickets immediately after reading Joyce's announcement.,Edson is booking tickets immediately after reading Joyce's announcement.
13865290,13865290,"Jeff: Should we go to the village party?
Lia: I'm too tired after hiking
Mico: I'd like to go, there may be some hot boys!
Lia: I doubt
Jim: like a real village boy?
Jim: who doesn't even speak English?
Mico: yes, the dummer, the better
Jim: haha, stupid fucks good, they say
Mico: I confirm!
Lia: not my cup of tea
Mico: I'll go there, who wants to join?
Jeff: I'll go as well
Mico: wanna drive?
Jeff: so you could drink?
Mico: would be nice, hahah
Jeff: not excited, but ok
Mico: thanks!","Jeff, Lia, Mico and Jim don't want to go to the village party.","Jeff, Lia, Mico and Jim don't want to go to the village party."
13730736,13730736,"Harry: heyyyy are you there??
Cindy: Yes dear what is it?
Harry: Can you call Ela and tell her i need to talk urgent please pick my call.
Cindy: what happened now? an other fight :O
Harry: please tell her
Cindy: MAN! you guys... am i some kind of a messenger service here?
Harry: PLEASEEEEEEEEE ?
Cindy: ok doing.... but thats the last time.
Harry: Yes like always:P
Cindy: Hate you seriously man.
Harry: Thank you
Cindy: Done you can call her now.",Harry had another fight with Ela. Harry needs Cindy to call her. ,Harry had another fight with Ela. Harry needs Cindy to call her. 
13863152,13863152,"Aldo: Hi, did you get my email?
Marco: Yes I did, thank you
Aldo: I hope you like my article
Aldo: It took me weeks to finish it
Marco: Ok, I'll print it and read it right now
Aldo: Thanks
Marco: How many pages is it?
Marco: Ok, got it, it's 12
Aldo: Yep, 12
Marco: Ok",Marco got Aldo's article via email and will print it.,Marco got Aldo's article via email and will print it.
13865298,13865298,"Jane: Don't ever go to La Perle :<
Eddie: Why? You love this place
Jane: Used to love this place, not any more
Anne: We've just been there with Jane and Ella
Anne: Now we're getting out ER
Eddie: Dear god what happened?! Are you all right?
Jane: Now I'm good, but they almost killed me
Jane: You know I'm allergic to peanuts
Eddie: Oh no they didn't...
Anne: we ordered some cake, Jane asked for a cheesecake just to be sure
Jane: I told them I'm allergic and they ensured me there's not even a trace of peanuts
Jane: I started swelling after the first bite - apparently there were crushed nuts in the crust
Eddie: I think you should sue them. They really could have killed you
Anne: I told her the same thing, who knows how many people they killed?
Jane: I just don't get how ignorant you have to be to do something like this","Jane used to love La Perle, but she doesn't anymore. Anne has just been there with Jane and Ella and doesn't recommend it.","Jane used to love La Perle, but she doesn't anymore. Anne has just been there with Jane and Ella and doesn't recommend it."
13819724,13819724,"Tom: we're few meters from you, can't you see us?
Jeffrey: lol, nope
Elena: c'mon, the red jacket!",Tom and Jeffrey are trying to find Elena and the others. They are looking for people wearing a red jacket. ,Tom and Jeffrey are trying to find Elena and the others. They are looking for people wearing a red jacket. 
13730522,13730522,"Bob: you bitch... why you called Sarah?
Jill: because i want to.. who are you question me?
Bob: try whatever you can bitch you cant get me back
Jill: huh? excuse me i dont want you back so just fuck off
Bob: really then why your calling my girlfriend and sending her our pictures..
Jill: its just that i hate you and i dont want you to be happy :haha:
Bob: really bitch ? but u told her she cannot snatch me from you? 
Jill: yesss! its fun to hurt her 
Bob: i cant believe i was living with a bitch like you
Jill: oh yes and you would have lived if i wouldnt have kicked you out
Bob: What? huh! i left you.. dont remember you were begging me to love you not to leave you?
Jill: whatever.. i am glad i could make you angry and hurt you
Bob: ok thank you dear :)
Jill: thank you?
Bob: yes for saying all this, this is Sarah and all is good now... better luck next time?
Jill: get lost,",Jill called Sarah.,Jill called Sarah.
13715786,13715786,"Jamie: What do you think about doing those presentations in groups?
Marlo: I’m so down man, I don’t wanna do it alone, it’s a lot of work
Jamie: I know, interviews, then transcriptions, then compiling material, then writing
Jimmy: Geeeeez, you guys are so right
Jamie: I think we should talk to him to make like 3 presentations, so that gives us 3-4 people per team
Alex: You guys are so not up to date:D
Jamie: What you talking about?
Alex: It’s already done, we have 2 groups, he send us subjects in email
Jamie: LOL I was so convinced we gotta think of everything ourselves
Alex: hahah nah 
Jimmy: Did he divide us too?
Alex: No we gotta do it ourselves
Jimmy: Girls v Guys? 
Jamie: hahahaha that’s gonna be fun, we kinda have parity right?
Alex: Yeah I think so, I’m ok with that
Marlo: But dudes, girls are so much better in this subject
Alex: Thanks:D but I think you’ll manage
Jamie: Ladies first, I give you right to choose first
Alex: You give me rights:D that’s freakin new! THANK YOU
Jamie: Just tryin to be a gentleman;)
Jimmy: Yeah, you wish, you sexist pig:d
Jamie: Hey, hey no name calling here! Ladies read it
Jimmy: Oh you just diggin your own grave:D lol","Jamie and Marlo want to form a group and do the presentations together. Interviews, presentations and work on interviews takes a lot of time.","Jamie and Marlo want to form a group and do the presentations together. Interviews, presentations and work on interviews takes a lot of time."
